prioridade,tempo,nome
198182,378,fish-and-chips-1
52714,320,steak-and-ale-pie-2
47983,587,bubble-and-squeak-3
76840,91,cottage-pie-4
37220,288,pizza-margherita-5
266459,307,risotto-6
135541,826,lasagna-7
36167,957,carbonara-8
63627,647,feijoada-9
63723,126,moqueca-10
209833,856,acaraje-11
130272,111,pao-de-queijo-12
18295,377,sushi-13
93849,400,tempura-14
12106,618,ramen-15
70220,388,okonomiyaki-16
193542,22,fish-and-chips-17
258669,981,steak-and-ale-pie-18
123872,842,bubble-and-squeak-19
184587,91,cottage-pie-20
85494,501,pizza-margherita-21
147054,781,risotto-22
172064,636,lasagna-23
291000,10,carbonara-24
1842,649,feijoada-25
253785,336,moqueca-26
150287,15,acaraje-27
6378,816,pao-de-queijo-28
139424,303,sushi-29
143634,795,tempura-30
296523,66,ramen-31
212440,809,okonomiyaki-32
128433,342,fish-and-chips-33
245098,112,steak-and-ale-pie-34
41626,681,bubble-and-squeak-35
138035,205,cottage-pie-36
108761,561,pizza-margherita-37
146680,553,risotto-38
296673,949,lasagna-39
785,162,carbonara-40
94856,624,feijoada-41
34964,594,moqueca-42
155968,512,acaraje-43
157550,345,pao-de-queijo-44
1251,571,sushi-45
226164,152,tempura-46
229865,538,ramen-47
11496,126,okonomiyaki-48
218111,884,fish-and-chips-49
237249,98,steak-and-ale-pie-50
149753,858,bubble-and-squeak-51
108361,832,cottage-pie-52
238350,789,pizza-margherita-53
116688,376,risotto-54
54859,847,lasagna-55
19700,98,carbonara-56
211936,97,feijoada-57
250619,485,moqueca-58
215564,907,acaraje-59
51371,690,pao-de-queijo-60
6261,900,sushi-61
30908,932,tempura-62
97790,218,ramen-63
170257,280,okonomiyaki-64
168754,713,fish-and-chips-65
202768,95,steak-and-ale-pie-66
155796,391,bubble-and-squeak-67
74215,405,cottage-pie-68
238630,146,pizza-margherita-69
141090,819,risotto-70
134457,36,lasagna-71
173382,186,carbonara-72
161673,534,feijoada-73
229280,224,moqueca-74
236827,71,acaraje-75
242384,785,pao-de-queijo-76
97513,946,sushi-77
257082,65,tempura-78
285857,25,ramen-79
146822,352,okonomiyaki-80
234276,763,fish-and-chips-81
53960,895,steak-and-ale-pie-82
61993,716,bubble-and-squeak-83
171569,736,cottage-pie-84
210123,744,pizza-margherita-85
183880,429,risotto-86
103975,463,lasagna-87
15365,970,carbonara-88
296825,96,feijoada-89
192880,739,moqueca-90
266604,312,acaraje-91
9941,556,pao-de-queijo-92
136045,764,sushi-93
155317,796,tempura-94
86673,817,ramen-95
116455,342,okonomiyaki-96
269261,433,fish-and-chips-97
7775,416,steak-and-ale-pie-98
214187,549,bubble-and-squeak-99
197236,423,cottage-pie-100
119207,700,pizza-margherita-101
203685,752,risotto-102
214889,942,lasagna-103
266454,610,carbonara-104
5775,578,feijoada-105
171647,524,moqueca-106
128591,340,acaraje-107
221893,217,pao-de-queijo-108
93347,752,sushi-109
104338,649,tempura-110
279690,51,ramen-111
116289,588,okonomiyaki-112
201705,105,fish-and-chips-113
89941,893,steak-and-ale-pie-114
155216,289,bubble-and-squeak-115
82322,685,cottage-pie-116
17155,822,pizza-margherita-117
716,117,risotto-118
63133,836,lasagna-119
47883,262,carbonara-120
275319,974,feijoada-121
218796,103,moqueca-122
256473,67,acaraje-123
182904,782,pao-de-queijo-124
297837,933,sushi-125
156275,202,tempura-126
78477,146,ramen-127
264454,785,okonomiyaki-128
103472,861,fish-and-chips-129
35125,351,steak-and-ale-pie-130
56742,690,bubble-and-squeak-131
235511,719,cottage-pie-132
299530,718,pizza-margherita-133
86447,32,risotto-134
172574,873,lasagna-135
116277,833,carbonara-136
56415,187,feijoada-137
65690,931,moqueca-138
214867,741,acaraje-139
152176,951,pao-de-queijo-140
89380,438,sushi-141
217401,617,tempura-142
246036,45,ramen-143
44017,323,okonomiyaki-144
25129,173,fish-and-chips-145
183669,611,steak-and-ale-pie-146
49142,562,bubble-and-squeak-147
34957,83,cottage-pie-148
54059,458,pizza-margherita-149
232967,794,risotto-150
158514,523,lasagna-151
77547,467,carbonara-152
245110,674,feijoada-153
228510,132,moqueca-154
6550,963,acaraje-155
268433,616,pao-de-queijo-156
151422,209,sushi-157
29392,861,tempura-158
187488,585,ramen-159
132137,652,okonomiyaki-160
297738,778,fish-and-chips-161
194999,738,steak-and-ale-pie-162
210233,550,bubble-and-squeak-163
190557,879,cottage-pie-164
270751,224,pizza-margherita-165
283037,382,risotto-166
198789,792,lasagna-167
225005,947,carbonara-168
274583,770,feijoada-169
266842,828,moqueca-170
175847,663,acaraje-171
4254,834,pao-de-queijo-172
75150,929,sushi-173
27972,137,tempura-174
24344,266,ramen-175
172781,266,okonomiyaki-176
206029,869,fish-and-chips-177
86296,131,steak-and-ale-pie-178
231156,77,bubble-and-squeak-179
53616,480,cottage-pie-180
261504,279,pizza-margherita-181
27784,207,risotto-182
52637,573,lasagna-183
75163,531,carbonara-184
155037,918,feijoada-185
101914,993,moqueca-186
94684,301,acaraje-187
92630,594,pao-de-queijo-188
279494,568,sushi-189
6795,83,tempura-190
37275,993,ramen-191
193067,899,okonomiyaki-192
223325,713,fish-and-chips-193
175689,504,steak-and-ale-pie-194
277457,84,bubble-and-squeak-195
84680,929,cottage-pie-196
116025,826,pizza-margherita-197
134571,983,risotto-198
177903,513,lasagna-199
106230,433,carbonara-200
225605,443,feijoada-201
27092,343,moqueca-202
196675,545,acaraje-203
128812,111,pao-de-queijo-204
294059,234,sushi-205
95785,187,tempura-206
288049,891,ramen-207
222261,452,okonomiyaki-208
6360,518,fish-and-chips-209
153834,205,steak-and-ale-pie-210
87060,718,bubble-and-squeak-211
287982,837,cottage-pie-212
56055,862,pizza-margherita-213
251868,915,risotto-214
93157,780,lasagna-215
161306,753,carbonara-216
42419,975,feijoada-217
196434,580,moqueca-218
145472,424,acaraje-219
232773,593,pao-de-queijo-220
858,884,sushi-221
52634,772,tempura-222
184946,523,ramen-223
194581,792,okonomiyaki-224
275713,686,fish-and-chips-225
6192,21,steak-and-ale-pie-226
246636,95,bubble-and-squeak-227
79673,361,cottage-pie-228
140219,592,pizza-margherita-229
20997,595,risotto-230
257334,598,lasagna-231
271272,648,carbonara-232
82802,935,feijoada-233
297130,75,moqueca-234
152872,988,acaraje-235
276514,977,pao-de-queijo-236
180435,547,sushi-237
