prioridade,tempo,nome
298730,467,bubble-and-squeak-88
142233,34,steak-and-ale-pie-688
151430,761,bubble-and-squeak-144
155895,531,cottage-pie-785
195253,80,steak-and-ale-pie-959
14734,501,bubble-and-squeak-945
86327,329,poitin-429
185626,112,cottage-pie-630
151430,367,fish-and-chips-915
10789,905,ploughman's-lunch-655
298730,397,bubble-and-squeak-646
167124,638,cottage-pie-242
275730,667,steak-and-ale-pie-704
39414,370,cottage-pie-52
151430,407,poitin-717
36280,846,steak-and-ale-pie-782
50431,579,ploughman's-lunch-614
298730,435,ploughman's-lunch-247
231478,926,fish-and-chips-752
282024,511,fish-and-chips-856
185641,975,poitin-278
